,product_id,category_id,price,user_id,is_purchased
0,3900860,2053013552326770905,84.69,514732891,0
1,3900815,2053013552326770905,133.82,515798665,0
2,3900702,2053013552326770905,115.75,518045212,1
3,3900002,2053013552326770905,103.18,514008577,1
4,3900647,2053013552326770905,105.68,513400739,1
5,3900685,2053013552326770905,99.46,537406415,1
6,3900776,2053013552326770905,86.1,519859565,1
7,3900688,2053013552326770905,99.46,519824015,1
8,3900003,2053013552326770905,120.46,537128323,1
9,3900493,2053013552326770905,256.36,515385693,1
10,3900815,2053013552326770905,133.82,548891541,1
11,3900339,2053013552326770905,30.63,512502094,0
12,3900339,2053013552326770905,30.63,512502094,0
13,3900486,2053013552326770905,210.29,514591308,1
14,3900003,2053013552326770905,120.46,516208034,0
15,3900815,2053013552326770905,133.82,548891541,1
16,3900860,2053013552326770905,84.69,513759853,0
17,3900486,2053013552326770905,210.28,514591308,1
18,3900552,2053013552326770905,85.95,554839904,0
19,3900003,2053013552326770905,120.45,512822550,1
20,3900552,2053013552326770905,85.95,554839904,1
21,3900487,2053013552326770905,243.74,515385693,1
22,3900486,2053013552326770905,210.28,515385693,1
23,3900815,2053013552326770905,133.81,527550607,1
24,3900776,2053013552326770905,86.1,513010110,1
25,3900003,2053013552326770905,120.45,555652957,1
26,3900003,2053013552326770905,120.45,555652957,1
27,3900003,2053013552326770905,120.45,555682283,1
28,3900815,2053013552326770905,133.81,512963624,0
29,3900002,2053013552326770905,103.18,551711802,0
30,3900003,2053013552326770905,120.45,540926778,0
31,3900339,2053013552326770905,30.63,536599930,0
32,3900686,2053013552326770905,108.08,518927743,0
33,3900003,2053013552326770905,120.44,519660992,0
34,3900003,2053013552326770905,120.44,512451070,0
35,3900821,2053013552326770905,33.2,543505965,0
36,3900686,2053013552326770905,108.08,518445054,1
37,3900003,2053013552326770905,120.44,512606185,1
38,3900821,2053013552326770905,33.2,543505965,0
39,3900821,2053013552326770905,33.2,514128395,1
40,3900821,2053013552326770905,33.2,543505965,0
41,3900821,2053013552326770905,33.2,554375705,0
42,3900002,2053013552326770905,103.17,512954801,1
43,3900686,2053013552326770905,108.08,518445054,0
44,3900971,2053013552326770905,133.42,540528146,0
45,3900003,2053013552326770905,120.44,531419642,0
46,3900815,2053013552326770905,133.8,556005616,1
47,3900003,2053013552326770905,120.44,556019198,0
48,3900003,2053013552326770905,120.44,531419642,0
49,3900702,2053013552326770905,115.75,527761913,0
50,3900685,2053013552326770905,99.1,516441645,0
51,3900003,2053013552326770905,120.44,521496678,1
52,3900821,2053013552326770905,33.2,519213242,0
53,3900002,2053013552326770905,103.17,513075485,0
54,3900003,2053013552326770905,120.44,520431719,0
55,3900002,2053013552326770905,103.17,537468848,0
56,3900002,2053013552326770905,103.17,513075485,1
57,3900686,2053013552326770905,108.08,552111392,0
58,3900685,2053013552326770905,99.1,516441645,1
59,3900003,2053013552326770905,120.43,556192875,0
60,3900486,2053013552326770905,210.26,513325175,0
61,3900487,2053013552326770905,243.72,556217227,1
62,3900821,2053013552326770905,33.2,556232286,1
63,3900002,2053013552326770905,103.15,541181705,0
64,3900002,2053013552326770905,103.15,512586239,0
65,3900647,2053013552326770905,105.65,512586239,1
66,3900834,2053013552326770905,39.98,555678664,0
67,3900003,2053013552326770905,120.43,532684809,0
68,3900834,2053013552326770905,39.98,515649873,0
69,3900834,2053013552326770905,39.98,515649873,1
70,3900003,2053013552326770905,120.43,544212321,1
